Old_File,New_File,Message
Anthony_FC_12102022_0942.tsv,DS73.tsv,The files Anthony_FC_12102022_0942.tsv and DS73.tsv are identical.
Ballantine_FC_09102022_0930.tsv,WD20.tsv,The files Ballantine_FC_09102022_0930.tsv and WD20.tsv are identical.
Barbados_FC_0912022_1000.tsv,LJ18.tsv,The files Barbados_FC_0912022_1000.tsv and LJ18.tsv are identical.
Batate_FC_12102022_1040.tsv,ZP98.tsv,The files Batate_FC_12102022_1040.tsv and ZP98.tsv are identical.
Bernard_FC_09102022_0944.tsv,CS40.tsv,The files Bernard_FC_09102022_0944.tsv and CS40.tsv are identical.
Besenstiel_FC_18102022_0932.tsv,RD59.tsv,The files Besenstiel_FC_18102022_0932.tsv and RD59.tsv are identical.
Diamante_FC_31102022_0944.tsv,BF67.tsv,The files Diamante_FC_31102022_0944.tsv and BF67.tsv are identical.
Einstein_FC_12102022_1050.tsv,QF80.tsv,The files Einstein_FC_12102022_1050.tsv and QF80.tsv are identical.
Emu_FC_14102022_1022.tsv,PM66.tsv,The files Emu_FC_14102022_1022.tsv and PM66.tsv are identical.
Hera_FC_13102022_1030.tsv,AT13.tsv,The files Hera_FC_13102022_1030.tsv and AT13.tsv are identical.
Jafar_FC_12102022_1000.tsv,BB49.tsv,The files Jafar_FC_12102022_1000.tsv and BB49.tsv are identical.
JB_FC_16102022_0944.tsv,BN74.tsv,The files JB_FC_16102022_0944.tsv and BN74.tsv are identical.
Jessica_FC_15102022_1559.tsv,OA29.tsv,The files Jessica_FC_15102022_1559.tsv and OA29.tsv are identical.
Joe_FC_20102022_0922.tsv,AM50.tsv,The files Joe_FC_20102022_0922.tsv and AM50.tsv are identical.
Jumper_FC_13102022_0941.tsv,PQ37.tsv,The files Jumper_FC_13102022_0941.tsv and PQ37.tsv are identical.
Jurek_FC_13102022_1047.tsv,JI99.tsv,The files Jurek_FC_13102022_1047.tsv and JI99.tsv are identical.
Karolina_FC_15102022_1627.tsv,ZN92.tsv,The files Karolina_FC_15102022_1627.tsv and ZN92.tsv are identical.
Koarl_FC_14102022_1035.tsv,BD57.tsv,The files Koarl_FC_14102022_1035.tsv and BD57.tsv are identical.
Krummel_FC_15102022_1613.tsv,BZ68.tsv,The files Krummel_FC_15102022_1613.tsv and BZ68.tsv are identical.
Lando_FC_14102022_1049.tsv,YN28.tsv,The files Lando_FC_14102022_1049.tsv and YN28.tsv are identical.
Lauffuss_FC_19102022_1145.tsv,VM58.tsv,The files Lauffuss_FC_19102022_1145.tsv and VM58.tsv are identical.
Lausbursch_FC_19102022_1021.tsv,CR50.tsv,The files Lausbursch_FC_19102022_1021.tsv and CR50.tsv are identical.
Leia_FC_20102022_0940.tsv,YO16.tsv,The files Leia_FC_20102022_0940.tsv and YO16.tsv are identical.
Longshanks_FC_14102022_0958.tsv,XL84.tsv,The files Longshanks_FC_14102022_0958.tsv and XL84.tsv are identical.
Lukka_FC_12102022_10012.tsv,VA51.tsv,The files Lukka_FC_12102022_10012.tsv and VA51.tsv are identical.
Luna_FC_13102022_1015.tsv,PE20.tsv,The files Luna_FC_13102022_1015.tsv and PE20.tsv are identical.
Lupin_FC_14102022_1010.tsv,PK96.tsv,The files Lupin_FC_14102022_1010.tsv and PK96.tsv are identical.
Natalie_FC_13102022_1005.tsv,GP70.tsv,The files Natalie_FC_13102022_1005.tsv and GP70.tsv are identical.
Oberlix_FC_18102022_0956.tsv,KG89.tsv,The files Oberlix_FC_18102022_0956.tsv and KG89.tsv are identical.
Olga_FC_20102022_0909.tsv,RS99.tsv,The files Olga_FC_20102022_0909.tsv and RS99.tsv are identical.
Ornella_FC_15102022_1545.tsv,JY36.tsv,The files Ornella_FC_15102022_1545.tsv and JY36.tsv are identical.
Pudding_FC_31102022_1020.tsv,NI66.tsv,The files Pudding_FC_31102022_1020.tsv and NI66.tsv are identical.
Rosenrot_FC_18102022_1100.tsv,SN68.tsv,The files Rosenrot_FC_18102022_1100.tsv and SN68.tsv are identical.
Rubezahl_FC_15102022_1532.tsv,JB65.tsv,The files Rubezahl_FC_15102022_1532.tsv and JB65.tsv are identical.
Trevor_FC_13102022_0952.tsv,VE35.tsv,The files Trevor_FC_13102022_0952.tsv and VE35.tsv are identical.
Triton_FC_14102022_0948.tsv,PT35.tsv,The files Triton_FC_14102022_0948.tsv and PT35.tsv are identical.
Anthony_FRF_25102022_0953.tsv,PM15.tsv,The files Anthony_FRF_25102022_0953.tsv and PM15.tsv are identical.
Ballantine_FRF_26102022_0947.tsv,QK88.tsv,The files Ballantine_FRF_26102022_0947.tsv and QK88.tsv are identical.
Batate_FRF_26102022_1001.tsv,ZP69.tsv,The files Batate_FRF_26102022_1001.tsv and ZP69.tsv are identical.
Bernard_FRF_27102022_0927.tsv,MG91.tsv,The files Bernard_FRF_27102022_0927.tsv and MG91.tsv are identical.
Besenstiel_FRF_26102022_1018.tsv,YB95.tsv,The files Besenstiel_FRF_26102022_1018.tsv and YB95.tsv are identical.
Diamante_FRF_28102022_0944.tsv,LO30.tsv,The files Diamante_FRF_28102022_0944.tsv and LO30.tsv are identical.
Einstein_FRF_23102022_0936.tsv,QM82.tsv,The files Einstein_FRF_23102022_0936.tsv and QM82.tsv are identical.
Emu_FRF_23102022_1040.tsv,TA14.tsv,The files Emu_FRF_23102022_1040.tsv and TA14.tsv are identical.
Hera_FRF_19102022_1050.tsv,AY11.tsv,The files Hera_FRF_19102022_1050.tsv and AY11.tsv are identical.
Jafar_FRF_28102022_0923.tsv,AF95.tsv,The files Jafar_FRF_28102022_0923.tsv and AF95.tsv are identical.
JB_FRF_19102022_1130.tsv,GK95.tsv,The files JB_FRF_19102022_1130.tsv and GK95.tsv are identical.
Jessica_FRF_23102022_0924.tsv,RQ53.tsv,The files Jessica_FRF_23102022_0924.tsv and RQ53.tsv are identical.
Joe_FRF_26102022_1035.tsv,DX39.tsv,The files Joe_FRF_26102022_1035.tsv and DX39.tsv are identical.
Jumper_FRF_20102022_1014.tsv,VC44.tsv,The files Jumper_FRF_20102022_1014.tsv and VC44.tsv are identical.
Jurek_FRF_25102022_1054.tsv,UW23.tsv,The files Jurek_FRF_25102022_1054.tsv and UW23.tsv are identical.
Karolina_FRF_25102022_1039.tsv,PS36.tsv,The files Karolina_FRF_25102022_1039.tsv and PS36.tsv are identical.
Koarl_FRF_26102022_1049.tsv,MQ39.tsv,The files Koarl_FRF_26102022_1049.tsv and MQ39.tsv are identical.
Krummel_FRF_29102022_1014.tsv,VU23.tsv,The files Krummel_FRF_29102022_1014.tsv and VU23.tsv are identical.
Lando_FRF_25102022_1007.tsv,UK60.tsv,The files Lando_FRF_25102022_1007.tsv and UK60.tsv are identical.
Lauffuss_FRF_31102022_0842.tsv,ZP37.tsv,The files Lauffuss_FRF_31102022_0842.tsv and ZP37.tsv are identical.
Lausbursch_FRF_23102022_1000.tsv,JS75.tsv,The files Lausbursch_FRF_23102022_1000.tsv and JS75.tsv are identical.
Leia_FRF_22102022_1753.tsv,RC92.tsv,The files Leia_FRF_22102022_1753.tsv and RC92.tsv are identical.
Longshanks_FRF_31102022_0828.tsv,KW45.tsv,The files Longshanks_FRF_31102022_0828.tsv and KW45.tsv are identical.
Lukka_FRF_28102022_1052.tsv,MF42.tsv,The files Lukka_FRF_28102022_1052.tsv and MF42.tsv are identical.
Luna_FRF_102022_0952.tsv,SL35.tsv,The files Luna_FRF_102022_0952.tsv and SL35.tsv are identical.
Lupin_FRF_24102022_0926.tsv,CH23.tsv,The files Lupin_FRF_24102022_0926.tsv and CH23.tsv are identical.
Natalie_FRF_19102022_1035.tsv,NH76.tsv,The files Natalie_FRF_19102022_1035.tsv and NH76.tsv are identical.
Oberlix_FRF_31102022_0813.tsv,ZM17.tsv,The files Oberlix_FRF_31102022_0813.tsv and ZM17.tsv are identical.
Olga_FRF_29102022_0940.tsv,TT33.tsv,The files Olga_FRF_29102022_0940.tsv and TT33.tsv are identical.
Ornella_FRF_29102022_1032.tsv,SI10.tsv,The files Ornella_FRF_29102022_1032.tsv and SI10.tsv are identical.
Pudding_FRF_31102022_0902.tsv,RZ81.tsv,The files Pudding_FRF_31102022_0902.tsv and RZ81.tsv are identical.
Rosenrot_FRF_31102022_0931.tsv,ZN21.tsv,The files Rosenrot_FRF_31102022_0931.tsv and ZN21.tsv are identical.
Rubezahl_FRF_29102022_1043.tsv,YQ35.tsv,The files Rubezahl_FRF_29102022_1043.tsv and YQ35.tsv are identical.
Trevor_FRF_30102022_0919.tsv,MZ26.tsv,The files Trevor_FRF_30102022_0919.tsv and MZ26.tsv are identical.
Triton_FRF_29102022_1056.tsv,RU53.tsv,The files Triton_FRF_29102022_1056.tsv and RU53.tsv are identical.
Anthony_PRF_27102022_1108.tsv,SX42.tsv,The files Anthony_PRF_27102022_1108.tsv and SX42.tsv are identical.
Ballantine_FRP_23102022_0910.tsv,PX73.tsv,The files Ballantine_FRP_23102022_0910.tsv and PX73.tsv are identical.
Barbados_FRP_10102022_1741.tsv,ME77.tsv,The files Barbados_FRP_10102022_1741.tsv and ME77.tsv are identical.
Batate_PRF_18102022_1045.tsv,CV18.tsv,The files Batate_PRF_18102022_1045.tsv and CV18.tsv are identical.
Bernard_PRF_23102022_0950.tsv,UB31.tsv,The files Bernard_PRF_23102022_0950.tsv and UB31.tsv are identical.
Diamante_PRF_30102022_0932.tsv,RY98.tsv,The files Diamante_PRF_30102022_0932.tsv and RY98.tsv are identical.
Einstein_PRF_18102022_1023.tsv,EA40.tsv,The files Einstein_PRF_18102022_1023.tsv and EA40.tsv are identical.
Emu_PRF_20102022_1052.tsv,KI15.tsv,The files Emu_PRF_20102022_1052.tsv and KI15.tsv are identical.
Hera_FRP_24102022_1044.tsv,BT98.tsv,The files Hera_FRP_24102022_1044.tsv and BT98.tsv are identical.
Jafar_PRF_19102022_1035.tsv,WJ55.tsv,The files Jafar_PRF_19102022_1035.tsv and WJ55.tsv are identical.
JB_FRP_27102022_1130.tsv,XW88.tsv,The files JB_FRP_27102022_1130.tsv and XW88.tsv are identical.
Jessica_PRF_24102022_0953.tsv,FD17.tsv,The files Jessica_PRF_24102022_0953.tsv and FD17.tsv are identical.
Joe_PRF_24102022_1058.tsv,ML27.tsv,The files Joe_PRF_24102022_1058.tsv and ML27.tsv are identical.
Jumper_FRP_27102022_0952.tsv,IN87.tsv,The files Jumper_FRP_27102022_0952.tsv and IN87.tsv are identical.
Jurek_PRF_25102022_1106.tsv,WZ29.tsv,The files Jurek_PRF_25102022_1106.tsv and WZ29.tsv are identical.
Karolina_FRP_17102022_1045.tsv,VE59.tsv,The files Karolina_FRP_17102022_1045.tsv and VE59.tsv are identical.
Koarl_PRF_28102022_0957.tsv,ZB99.tsv,The files Koarl_PRF_28102022_0957.tsv and ZB99.tsv are identical.
Krummel_FRP_24102022_1027.tsv,RK76.tsv,The files Krummel_FRP_24102022_1027.tsv and RK76.tsv are identical.
Lando_FRP_28102022_1040.tsv,ZR51.tsv,The files Lando_FRP_28102022_1040.tsv and ZR51.tsv are identical.
Laufuss_PRF_30102022_0959.tsv,EM51.tsv,The files Laufuss_PRF_30102022_0959.tsv and EM51.tsv are identical.
Lausbursch_PRF_17102022_0950.tsv,GF37.tsv,The files Lausbursch_PRF_17102022_0950.tsv and GF37.tsv are identical.
Leia_FRP_28102022_1026.tsv,NH51.tsv,The files Leia_FRP_28102022_1026.tsv and NH51.tsv are identical.
Longshanks_FRP_23102022_1023.tsv,FC13.tsv,The files Longshanks_FRP_23102022_1023.tsv and FC13.tsv are identical.
Lukka_PRF_24102022_1115.tsv,EL91.tsv,The files Lukka_PRF_24102022_1115.tsv and EL91.tsv are identical.
Luna_PRF_27102022_1006.tsv,OJ36.tsv,The files Luna_PRF_27102022_1006.tsv and OJ36.tsv are identical.
Lupin_FRP_23102022_1054.tsv,FM65.tsv,The files Lupin_FRP_23102022_1054.tsv and FM65.tsv are identical.
Natalie_FRP_27102022_1034.tsv,XK41.tsv,The files Natalie_FRP_27102022_1034.tsv and XK41.tsv are identical.
Oberlix_PRF_28102022_1012.tsv,ZX48.tsv,The files Oberlix_PRF_28102022_1012.tsv and ZX48.tsv are identical.
Olga_FRP_26102022_1115.tsv,FS52.tsv,The files Olga_FRP_26102022_1115.tsv and FS52.tsv are identical.
Ornella_PRF_17102022_1015.tsv,QN56.tsv,The files Ornella_PRF_17102022_1015.tsv and QN56.tsv are identical.
Pudding_PRF_29102022_0953.tsv,AG59.tsv,The files Pudding_PRF_29102022_0953.tsv and AG59.tsv are identical.
Rosenrot_FRP_17102022_1020.tsv,QN28.tsv,The files Rosenrot_FRP_17102022_1020.tsv and QN28.tsv are identical.
Rubezahl_FRP_22102022_1810.tsv,RI98.tsv,The files Rubezahl_FRP_22102022_1810.tsv and RI98.tsv are identical.
Trevor_PRF_27102022_1050.tsv,BC74.tsv,The files Trevor_PRF_27102022_1050.tsv and BC74.tsv are identical.
Triton_FRP_24102022_1013.tsv,VI35.tsv,The files Triton_FRP_24102022_1013.tsv and VI35.tsv are identical.
Allegra_FC_17112022_1052.tsv,VZ39.tsv,The files Allegra_FC_17112022_1052.tsv and VZ39.tsv are identical.
Anthony_FC_08112022_0843.tsv,LG98.tsv,The files Anthony_FC_08112022_0843.tsv and LG98.tsv are identical.
Ballantine_FC_07112022_0855.tsv,ZV22.tsv,The files Ballantine_FC_07112022_0855.tsv and ZV22.tsv are identical.
Bayou_FC_09112022_1042.tsv,SL59.tsv,The files Bayou_FC_09112022_1042.tsv and SL59.tsv are identical.
Bernard_FC_11112022_0943.tsv,SI78.tsv,The files Bernard_FC_11112022_0943.tsv and SI78.tsv are identical.
Bruce Springsteen_FC_13112022_0918.tsv,MZ46.tsv,The files Bruce Springsteen_FC_13112022_0918.tsv and MZ46.tsv are identical.
Diamante_FC_14112022_1008.tsv,DP39.tsv,The files Diamante_FC_14112022_1008.tsv and DP39.tsv are identical.
Dorothea_FC_08112022_0950.tsv,TV91.tsv,The files Dorothea_FC_08112022_0950.tsv and TV91.tsv are identical.
Eastwood_FC_15112022_0846.tsv,BX66.tsv,The files Eastwood_FC_15112022_0846.tsv and BX66.tsv are identical.
Hera_FC_12112022_0924.tsv,XE58.tsv,The files Hera_FC_12112022_0924.tsv and XE58.tsv are identical.
Idgie_FC_021120222_0828.tsv,AP39.tsv,The files Idgie_FC_021120222_0828.tsv and AP39.tsv are identical.
Janosch_FC_17112022_1015.tsv,JI67.tsv,The files Janosch_FC_17112022_1015.tsv and JI67.tsv are identical.
JB_FC_15112022_1022.tsv,PO48.tsv,The files JB_FC_15112022_1022.tsv and PO48.tsv are identical.
Jessica_FC_07112022_0911.tsv,OM62.tsv,The files Jessica_FC_07112022_0911.tsv and OM62.tsv are identical.
Joe_FC_11112022_0930.tsv,NL94.tsv,The files Joe_FC_11112022_0930.tsv and NL94.tsv are identical.
Jumper_FC_02112022_0911.tsv,PE19.tsv,The files Jumper_FC_02112022_0911.tsv and PE19.tsv are identical.
Jurek_FC_12112022_1021.tsv,PZ10.tsv,The files Jurek_FC_12112022_1021.tsv and PZ10.tsv are identical.
Karolina_FC_15112022_0917.tsv,UQ38.tsv,The files Karolina_FC_15112022_0917.tsv and UQ38.tsv are identical.
Kendo_FC_12112022_1010.tsv,GD21.tsv,The files Kendo_FC_12112022_1010.tsv and GD21.tsv are identical.
L'amour_FC_09112022_1028.tsv,XL52.tsv,The files L'amour_FC_09112022_1028.tsv and XL52.tsv are identical.
Lando_FC_12112022_0911.tsv,ZY44.tsv,The files Lando_FC_12112022_0911.tsv and ZY44.tsv are identical.
Lausbursch_FC_14112022_0901.tsv,NH87.tsv,The files Lausbursch_FC_14112022_0901.tsv and NH87.tsv are identical.
Leia_FC_06112022_0905.tsv,JH77.tsv,The files Leia_FC_06112022_0905.tsv and JH77.tsv are identical.
Lindy Hop_FC_11112022_0956.tsv,SI24.tsv,The files Lindy Hop_FC_11112022_0956.tsv and SI24.tsv are identical.
Longshanks_FC_09112022_0849.tsv,VE85.tsv,The files Longshanks_FC_09112022_0849.tsv and VE85.tsv are identical.
Lotta_FC_19112022_1441.tsv,TZ85.tsv,The files Lotta_FC_19112022_1441.tsv and TZ85.tsv are identical.
Lukka_FC_02112022_0841.tsv,DD53.tsv,The files Lukka_FC_02112022_0841.tsv and DD53.tsv are identical.
Lupin_FC_06112022_0931.tsv,VY29.tsv,The files Lupin_FC_06112022_0931.tsv and VY29.tsv are identical.
Oberlix_FC_15112022_0859.tsv,RW30.tsv,The files Oberlix_FC_15112022_0859.tsv and RW30.tsv are identical.
Romy_FC_14112022_0915.tsv,ZJ51.tsv,The files Romy_FC_14112022_0915.tsv and ZJ51.tsv are identical.
Rosenrot_FC_15112022_0941.tsv,BG63.tsv,The files Rosenrot_FC_15112022_0941.tsv and BG63.tsv are identical.
Taras_FC_08112022_1000.tsv,DK11.tsv,The files Taras_FC_08112022_1000.tsv and DK11.tsv are identical.
Triton_FC_07112022_0928.tsv,UU71.tsv,The files Triton_FC_07112022_0928.tsv and UU71.tsv are identical.
Allegra_FRF_20112022_0943.tsv,JH79.tsv,The files Allegra_FRF_20112022_0943.tsv and JH79.tsv are identical.
Anthony_FRF_21112022_0930.tsv,IR18.tsv,The files Anthony_FRF_21112022_0930.tsv and IR18.tsv are identical.
Ballantine_FRF_22112022_1026.tsv,PX42.tsv,The files Ballantine_FRF_22112022_1026.tsv and PX42.tsv are identical.
Bayou_FRF_19112022_1507.tsv,VE30.tsv,The files Bayou_FRF_19112022_1507.tsv and VE30.tsv are identical.
Bernard_FRF_17112022_0922.tsv,XX97.tsv,The files Bernard_FRF_17112022_0922.tsv and XX97.tsv are identical.
Bruce Springsteen_FRF_21112022_0913.tsv,CY11.tsv,The files Bruce Springsteen_FRF_21112022_0913.tsv and CY11.tsv are identical.
Diamante_FRF_19112022_0917.tsv,AU60.tsv,The files Diamante_FRF_19112022_0917.tsv and AU60.tsv are identical.
Dorothea_FRF_19112022_0904.tsv,AN32.tsv,The files Dorothea_FRF_19112022_0904.tsv and AN32.tsv are identical.
Eastwood_FRF_20112022_1008.tsv,BB95.tsv,The files Eastwood_FRF_20112022_1008.tsv and BB95.tsv are identical.
Hera_FRF_23112022_1126.tsv,UO91.tsv,The files Hera_FRF_23112022_1126.tsv and UO91.tsv are identical.
Idgie_FRF_20112022_0916.tsv,BY58.tsv,The files Idgie_FRF_20112022_0916.tsv and BY58.tsv are identical.
Janosch_FRF_23112022_0948.tsv,KX41.tsv,The files Janosch_FRF_23112022_0948.tsv and KX41.tsv are identical.
JB_FRF_22112022_1040.tsv,DO20.tsv,The files JB_FRF_22112022_1040.tsv and DO20.tsv are identical.
Jessica_FRF_17112022_1027.tsv,WO88.tsv,The files Jessica_FRF_17112022_1027.tsv and WO88.tsv are identical.
Joe_FRF_22112022_1013.tsv,JS38.tsv,The files Joe_FRF_22112022_1013.tsv and JS38.tsv are identical.
Jumper_FRF_23112022_1058.tsv,GM92.tsv,The files Jumper_FRF_23112022_1058.tsv and GM92.tsv are identical.
Jurek_FRF_21112022_0946.tsv,NV45.tsv,The files Jurek_FRF_21112022_0946.tsv and NV45.tsv are identical.
Karolina_FRF_24112022_1114.tsv,CY33.tsv,The files Karolina_FRF_24112022_1114.tsv and CY33.tsv are identical.
Kendo_FRF_17112022_0934.tsv,MR42.tsv,The files Kendo_FRF_17112022_0934.tsv and MR42.tsv are identical.
L'amour_FRF_20112022_0955.tsv,PL63.tsv,The files L'amour_FRF_20112022_0955.tsv and PL63.tsv are identical.
Lando_FRF_24112022_1041.tsv,NH43.tsv,The files Lando_FRF_24112022_1041.tsv and NH43.tsv are identical.
Lausbursch_FRF_20112022_0903.tsv,LN46.tsv,The files Lausbursch_FRF_20112022_0903.tsv and LN46.tsv are identical.
Leia_FRF_24112022_1144.tsv,JT62.tsv,The files Leia_FRF_24112022_1144.tsv and JT62.tsv are identical.
Lindy Hop_ FRF_22112022_0959.tsv,QW34.tsv,The files Lindy Hop_ FRF_22112022_0959.tsv and QW34.tsv are identical.
Longshanks_FRF_23112022_1004.tsv,LN50.tsv,The files Longshanks_FRF_23112022_1004.tsv and LN50.tsv are identical.
Lotta_FRF_21112022_1005.tsv,DZ53.tsv,The files Lotta_FRF_21112022_1005.tsv and DZ53.tsv are identical.
Lukka_FRF_24112022_1129.tsv,GA97.tsv,The files Lukka_FRF_24112022_1129.tsv and GA97.tsv are identical.
Lupin_FRF_24112022_1056.tsv,QS99.tsv,The files Lupin_FRF_24112022_1056.tsv and QS99.tsv are identical.
Oberlix_FRF_23112022_1024.tsv,ZE69.tsv,The files Oberlix_FRF_23112022_1024.tsv and ZE69.tsv are identical.
Romy_FRF_19112022_1455.tsv,EW88.tsv,The files Romy_FRF_19112022_1455.tsv and EW88.tsv are identical.
Rosenrot_FRF_20112022_0930.tsv,FL96.tsv,The files Rosenrot_FRF_20112022_0930.tsv and FL96.tsv are identical.
Triton_FRF_23112022_1039.tsv,VP98.tsv,The files Triton_FRF_23112022_1039.tsv and VP98.tsv are identical.
Allegra_PRF_08102022_0856.tsv,JH15.tsv,The files Allegra_PRF_08102022_0856.tsv and JH15.tsv are identical.
Anthony_FRP_06112022_0945.tsv,BB69.tsv,The files Anthony_FRP_06112022_0945.tsv and BB69.tsv are identical.
Ballantine_PRF_17112022_0947.tsv,XP94.tsv,The files Ballantine_PRF_17112022_0947.tsv and XP94.tsv are identical.
Bayou_FRP_17112022_1000.tsv,UR42.tsv,The files Bayou_FRP_17112022_1000.tsv and UR42.tsv are identical.
Bernard_FRP_13112022_0905.tsv,ZR55.tsv,The files Bernard_FRP_13112022_0905.tsv and ZR55.tsv are identical.
Bruce Springsteen_PRF_09112022_0915.tsv,RN12.tsv,The files Bruce Springsteen_PRF_09112022_0915.tsv and RN12.tsv are identical.
Diamante_FRP_13112022_0831.tsv,ZV73.tsv,The files Diamante_FRP_13112022_0831.tsv and ZV73.tsv are identical.
Dorothea_FRP_02112022_0859.tsv,TJ50.tsv,The files Dorothea_FRP_02112022_0859.tsv and TJ50.tsv are identical.
Eastwood_PRF_12112022_0945.tsv,DS86.tsv,The files Eastwood_PRF_12112022_0945.tsv and DS86.tsv are identical.
Hera_FRP_09112022_0950.tsv,HK77.tsv,The files Hera_FRP_09112022_0950.tsv and HK77.tsv are identical.
Idgie_FRP_08112022_0934.tsv,DM46.tsv,The files Idgie_FRP_08112022_0934.tsv and DM46.tsv are identical.
Janosch_PRF_03112022_0929.tsv,VH25.tsv,The files Janosch_PRF_03112022_0929.tsv and VH25.tsv are identical.
JB_PRF_13112022_1044.tsv,EM45.tsv,The files JB_PRF_13112022_1044.tsv and EM45.tsv are identical.
Jessica_FRP_03112022_1015.tsv,RS84.tsv,The files Jessica_FRP_03112022_1015.tsv and RS84.tsv are identical.
Joe_FRP_09112022_0908.tsv,TV69.tsv,The files Joe_FRP_09112022_0908.tsv and TV69.tsv are identical.
Jumper_FRP_15112022_1049.tsv,GZ48.tsv,The files Jumper_FRP_15112022_1049.tsv and GZ48.tsv are identical.
Jurek_FRP2-06112022_0833.tsv,TB26.tsv,The files Jurek_FRP2-06112022_0833.tsv and TB26.tsv are identical.
Karolina_PRF_13112022_1059.tsv,CH52.tsv,The files Karolina_PRF_13112022_1059.tsv and CH52.tsv are identical.
Kendo_PRF_09112022_0932.tsv,OJ50.tsv,The files Kendo_PRF_09112022_0932.tsv and OJ50.tsv are identical.
L'amour_PRF_11112022_0915.tsv,ML56.tsv,The files L'amour_PRF_11112022_0915.tsv and ML56.tsv are identical.
Lando_FRP_11112022_1013.tsv,FW86.tsv,The files Lando_FRP_11112022_1013.tsv and FW86.tsv are identical.
Lausbursch_PRF_12112022_0957.tsv,JX49.tsv,The files Lausbursch_PRF_12112022_0957.tsv and JX49.tsv are identical.
Leia_PRF_02112022_0927.tsv,JM91.tsv,The files Leia_PRF_02112022_0927.tsv and JM91.tsv are identical.
Lindy Hop_PRF_12112022_0858.tsv,CC78.tsv,The files Lindy Hop_PRF_12112022_0858.tsv and CC78.tsv are identical.
Longshanks_FRP_14112022_0938.tsv,WV75.tsv,The files Longshanks_FRP_14112022_0938.tsv and WV75.tsv are identical.
Lotta_PRF_17112022_1039.tsv,SQ17.tsv,The files Lotta_PRF_17112022_1039.tsv and SQ17.tsv are identical.
Lukka_FRP_03112022_1002.tsv,DR62.tsv,The files Lukka_FRP_03112022_1002.tsv and DR62.tsv are identical.
Lupin_PRF_07112022_0950.tsv,SH12.tsv,The files Lupin_PRF_07112022_0950.tsv and SH12.tsv are identical.
Oberlix_PRF_08112022_0912.tsv,MH75.tsv,The files Oberlix_PRF_08112022_0912.tsv and MH75.tsv are identical.
Romy_PRF_13112022_0938.tsv,KK12.tsv,The files Romy_PRF_13112022_0938.tsv and KK12.tsv are identical.
Rosenrot_PRF_13112022_1006.tsv,GD31.tsv,The files Rosenrot_PRF_13112022_1006.tsv and GD31.tsv are identical.
Taras_FRP_11112022_0843.tsv,MI76.tsv,The files Taras_FRP_11112022_0843.tsv and MI76.tsv are identical.
Triton_FRP_13112022_1024.tsv,XL65.tsv,The files Triton_FRP_13112022_1024.tsv and XL65.tsv are identical.
